Numéro	Image	Description
N°4	pictogramme omm	La visibilité dominante est réduite par la fumée, par exemple les incendies de forêt, les fumées industrielles ou les cendres volcaniques.
N°5	pictogramme omm	Les obstacles à la vue consistent en lithométéores, généralement appelés brume sèche.
N°6	pictogramme omm	La visibilité dominante est réduite par des poussières en suspension dans l'air, non brassées par le vent.
N°7	pictogramme omm	Des chasse-poussière ou des chasse-sable élevés sont observés à la station ou aux alentours au moment de l'observation, et la visibilité dominante n'est pas supérieure à six milles, aucun tourbillon de poussière ou de sable bien developpé ni tempête de poussière ou de sable ne sont vus, ou, s'il s'agit de navires, dans le cas d'embruns poussés par le vent à la station.
N°8	pictogramme omm	Des tourbillons de poussière ou de sable bien développés mais non de tempête de poussière ou de sable, sont observés à la station ou aux alentours au cours de l'heure précédente ou au moment de l'observation.
N°9	pictogramme omm	Une tempête de poussière ou de sable est en vie au moment de l'observation, ou s'est produite à la station au cours de l'heure précédente, et la visibilité estimée ou observée dans la tempête de poussière ou de sable est ou était de moins de 5/8 de mille.
N°10	pictogramme omm	Du brouillard ou du brouillard glacé (plus correctement designé sous le nom de brume) est observé et la visibilité n'est ni inférieure à 5/8 de mille ni supérieure à 6 milles.
N°11	pictogramme omm	Une mince couche de brouillard ou de brouillard glacé en bancs est observé à la station. L'épaisseur du brouillard ne doit pas réduire la visibilité au niveau de l'oeil; le brouillard doit cependant avoir une densité telle que la visibilité apparente dans le brouillard soit inférieure à 5/8 de mille.
N°12	pictogramme omm	Une mince couche de brouillard ou de brouillard glacé, plus ou moins continue, est observée à la station au moment de l'observation. L'épaisseur du brouillard ne doit pas réduire la visibilité au niveau de l'oeil; cependant, le brouillard doit avoir une densité telle que la visibilité apparente dans le brouillard soit inférieure à 5/8 de mille.
N°13	pictogramme omm	Des éclairs sont visibles au moment de l'observation, ou au cours des 15 minutes qui précèdent l'observation, mais le tonnerre n'est pas perceptible.
N°14	pictogramme omm	Virga : des précipitations qui sont en vie, mais qui n'atteignent pas le sol ou la surface de la mer.
N°15	pictogramme omm	Des précipitations sont en vue et atteignent le sol ou la surface de la mer, à une distance estimée à plus de 3 milles de la station.
N°16	pictogramme omm	Des précipitations sont en vue et atteignent le sol ou la surface de la mer, à une distance estimée à 3 milles ou moins de la station, mais pas à la station même.
N°17	pictogramme omm	Du tonnerre est perçu au moment de l'observation, ou au cours des 15 minutes qui précèdent le moment de l'observation, mais il n'y a pas de précipitations à la station au moment de l'observation.
N°18	pictogramme omm	Des grains se manifestent au moment de l'observation, ou se sont manifestés au cours de l'heure précédente.
N°19	pictogramme omm	Un entonnoir nuageux, une trombe marine ou une tornade sont en vue de la station au moment de l'observation ou ont été observés au cours de l'heure précédente.
N°20	pictogramme omm	Il y a eu de la bruine ou de la neige en grains à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation.
N°21	pictogramme omm	Il est tombé de la pluie (non sous forme d'averses) à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation.
N°22	pictogramme omm	Il y a eu de la neige (pas sous forme d'averses) ou des cristaux de glace à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation.
N°23	pictogramme omm	Il y a eu de la pluie et de la neige mêlées ou des granules de glace, (non sous forme d'averses) à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation.
N°24	pictogramme omm	Il y a eu de la bruine verglaçante (se congelant) ou de la pluie verglaçante (se congelant) à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation.
N°25	pictogramme omm	Il y a eu une averse de pluie à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation.
N°26	pictogramme omm	Il y a eu une averse de neige, ou une averse de pluie et de neige mêlées à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation.
N°27	pictogramme omm	Il y a eu une averse de grêle, ou de pluie et de grêle, à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation.
N°28	pictogramme omm	Il y a eu du brouillard ou du brouillard glacé, associé à une visibilité de moins de 5/8 de mille à la station au cours de l'heure précédente, mais il n'y en a pas au moment de l'observation.
N°29	pictogramme omm	Il y a eu un orage, avec ou sans précipitations, à la station au cours de l'heure précédente, mais il n'y a ni tonnerre ni précipitations au moment de l'observation. Il faut que le tonnerre ait été perceptible pour la dernière fois 15 minutes ou plus avant l'observation.
